headline,url,published,category
TikTok | ಟಿಕ್‌ಟಾಕ್ ಮೇಲಿನ ನಿಷೇಧ ತೆರವುಗೊಳಿಸಿಲ್ಲ: ಕೇಂದ್ರ ಸರ್ಕಾರ,https://www.prajavani.nethttps://www.prajavani.net/technology/gadget-news/tiktok-ban-india-not-unblocked-says-government-3488055,1755935187129,Gadget-news-technology
ಎಐ ಆಧಾರಿತ ಯುದ್ಧವಿಮಾನ ‘‌FWD ಕಾಲಭೈರವ’ ರಕ್ಷಣಾ ಕ್ಷೇತ್ರಕ್ಕೆ ಸೇರ್ಪಡೆ,https://www.prajavani.nethttps://www.prajavani.net/news/india-news/ai-fighter-jet-fwd-kalabhairava-india-3487415,1755878600739,Gadget-news-technology
ಭಾರತದಲ್ಲಿ ಮೊದಲ ಕಚೇರಿ ತೆರೆಯಲಿರುವ ChatGPTಯ ಓಪನ್ ಎಐ: ಎಲ್ಲಿ? ಯಾವಾಗ?,https://www.prajavani.nethttps://www.prajavani.net/technology/gadget-news/openai-india-office-chatgpt-delhi-launch-3485794,1755841807957,Gadget-news-technology
ಅಮೆರಿಕದಲ್ಲಿ ಆ್ಯಪಲ್‌ನಿಂದ 600 ಬಿಲಿಯನ್ ಡಾಲರ್ ಹೂಡಿಕೆ: ಟ್ರಂಪ್ ಘೋಷಣೆ,https://www.prajavani.nethttps://www.prajavani.net/technology/gadget-news/apple-investment-usa-trump-announcement-3455187,1754540440449,Gadget-news-technology
ಬಳಕೆದಾರರ ಸುರಕ್ಷತೆ ಖಾತರಿಪಡಿಸಲು ವಾಟ್ಸ್‌ಆ್ಯಪ್‌ ಹೊಸ ಕ್ರಮ,https://www.prajavani.nethttps://www.prajavani.net/business/commerce-news/whatsapp-introduces-safety-overview-feature-to-protect-users-3454578,1754497621872,Gadget-news-technology
ಒಗೆದ ನಂತರ ಕೆಲ ಬಟ್ಟೆಗಳು ಕುಗ್ಗುವುದೇಕೆ..? ಹೀಗಾಗಬಾರದೆಂದರೆ ಇಲ್ಲಿದೆ ಸರಳ ಉಪಾಯ,https://www.prajavani.nethttps://www.prajavani.net/technology/gadget-news/why-some-clothes-shrink-after-wash-and-how-to-fix-it-3450659,1754388885224,Gadget-news-technology
QLED smart tv | ಸ್ಮಾರ್ಟ್‌ ಟಿ.ವಿ: ಸ್ಮಾರ್ಟ್‌ ಆಯ್ಕೆ,https://www.prajavani.nethttps://www.prajavani.net/technology/gadget-news/acer-v-pro-qled-smart-tv-launch-india-features-price-3444881,1754091000000,Gadget-news-technology
ಕಕ್ಷೆಯಲ್ಲಿ ಕಾರ್ಯಾರಂಭಕ್ಕೂ ಮುನ್ನ 90 ದಿನಗಳ ನಿರ್ಣಾಯಕ ಹಂತ ಪ್ರವೇಶಿಸಿದ NISAR,https://www.prajavani.nethttps://www.prajavani.net/technology/gadget-news/nisar-enters-critical-prelaunch-commissioning-phase-3443539,1754044389272,Gadget-news-technology
"JioPC: ತಿಂಗಳಿಗೆ ₹400 ಪಾವತಿಸಿದರೆ ಸಾಕು, ಮನೆ TVಯೇ ಹೈ ಎಂಡ್ ಕಂಪ್ಯೂಟರ್",https://www.prajavani.nethttps://www.prajavani.net/technology/gadget-news/jiopc-turns-tv-into-computer-for-monthly-subscription-3437555,1753860741541,Gadget-news-technology
Noise Air Clips 2: ಕಿವಿಯಲ್ಲಿ ಕ್ಲಿಪ್ ಮಾದರಿಯಲ್ಲಿ ಕೂರುವ ನೂತನ ಇಯರ್‌ಬಡ್ ,https://www.prajavani.nethttps://www.prajavani.net/technology/gadget-news/noise-air-clips-two-wireless-earbuds-launch-3435075,1753785755844,Gadget-news-technology
"Realme 15 Pro 5G ಭಾರತದಲ್ಲಿ ಬಿಡುಗಡೆ; ಬೆಲೆ, ವೈಶಿಷ್ಟ್ಯತೆ",https://www.prajavani.nethttps://www.prajavani.net/technology/gadget-news/realme-15-series-introduces-the-ai-edit-genie-3432859,1753707906448,Gadget-news-technology
ತಂತ್ರಜ್ಞಾನ | ‘ಇ-ರೋಡ್’ನಲ್ಲಿ ಮುಂದಕ್ಕೆ ಹೋಗಬಹುದೆ?,https://www.prajavani.nethttps://www.prajavani.net/technology/gadget-news/e-road-technology-electric-vehicle-future-india-3419674,1753230540000,Gadget-news-technology
AI and Smart Laboratory | ಇದು ‘ಬುದ್ಧಿವಂತ’ ಪ್ರಯೋಗಾಲಯ,https://www.prajavani.nethttps://www.prajavani.net/technology/gadget-news/ai-powered-smart-laboratory-automated-research-3419673,1753228800000,Gadget-news-technology
ನಟ ಫಹಾದ್ ಫಾಸಿಲ್ ಬಳಿಯ ಸರಳ ಕೀಪ್ಯಾಡ್ ಫೋನ್ ಬೆಲೆ ₹10 ಲಕ್ಷ! ಏಕಿಷ್ಟು ದುಬಾರಿ?,https://www.prajavani.nethttps://www.prajavani.net/technology/gadget-news/fahadh-faasil-uses-vertu-ascent-retro-luxury-phone-3414468,1752909722063,Gadget-news-technology
